Body,Department,Priority,Tags
Requesting an extension on my maternity leave due to personal reasons,Human Resources,Low,onboarding paperwork
Reporting an issue the external drive stopped working within days of delivery,Returns and Exchanges,Medium,return refund
Please help i want to discuss a bulk purchase of several storage plan licenses,Sales and Pre-Sales,Low,sales inquiry
Need support i need help configuring SharePoint on my new company phone,Technical Support,Critical,wifi connection
Good morning my access badge is not working for the database,Billing and Payments,High,vpn network
Reporting an issue requesting an exchange for the mouse due to it being broken,Returns and Exchanges,Low,return label
Following up i would like to learn more about the monitoring platform before purchasing,Sales and Pre-Sales,Low,enterprise plan
Kindly assist i am getting a timeout error when opening the accounting software,Technical Support,Medium,authentication error
Hi team i would like to return the keyboard I received last week,Returns and Exchanges,Medium,exchange product
Kindly assist requesting an exchange for the laptop due to it being malfunctioning,Returns and Exchanges,Low,damaged item
Kindly assist my bonus from last month is still outstanding,Human Resources,Low,payroll salary
FYI what discounts are available for annual enterprise contracts,Sales and Pre-Sales,Low,enterprise plan
For your attention i cannot connect to the company LAN from the airport,Technical Support,Critical,active directory
My refund for the returned scanner has not arrived yet,Returns and Exchanges,Low,wrong item
Urgent the keyboard in the office is not turning on and needs attention,Technical Support,Critical,authentication error
Reporting an issue please share information about your enterprise backup solution options,Sales and Pre-Sales,Medium,proposal request
Kindly assist my desktop is shutting down randomly after the recent security patch update,Technical Support,High,wifi connection
Hello i was billed for annual contract that we already cancelled,Billing and Payments,Medium,purchase order
Requesting assistance i need clarification on the currency conversion in this month's invoice,Billing and Payments,Medium,overcharge dispute
The invoice generated this month contains incorrect service charge,Billing and Payments,High,purchase order
Kindly assist my payment for the support package did not go through successfully,Billing and Payments,Low,subscription charge
Reporting an issue the scanner does not match what was described in my order,Returns and Exchanges,Low,exchange product
Kindly assist there is a discrepancy in the discount on my receipt,Billing and Payments,Low,refund billing
Reporting an issue my overtime pay from last month is still outstanding,Human Resources,Medium,hr portal
Reporting an issue the WiFi connection drops repeatedly during file transfers,Technical Support,Medium,vpn network
Good morning i would like to compare your storage plan against competitors,Sales and Pre-Sales,Medium,sales inquiry
Good morning how do I exchange the office chair for the correct specification,Returns and Exchanges,Low,store credit
Hi team please explain the processing fee added to my latest invoice,Billing and Payments,High,tax invoice
Need support requesting an exchange for the laptop due to it being damaged,Returns and Exchanges,Low,store credit
